,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname
0,Aaron Connolly,127,Brighton,0,45,0.0,0,FWD,Nottingham,0.2249721702899278,0.24275278213157858,Brighton,0.5322750475784934,True,,,,,,,0.5322750475784934,,0.5322750475784934,0.0,0.0,24,0.2129100190313974,Nottingham,Connolly
1,Aaron Cresswell,530,West Ham,3,42,0.14615384615384613,144,DEF,Burnley,0.1855272998573033,0.2383042890241156,West Ham,0.5761684111185812,True,,,,,,,0.5761684111185812,,0.5761684111185812,1.6,0.017241379310344827,24,0.35259759839528665,Burnley,Cresswell
2,Aaron Hickey,104,Brentford,17,44,0.49615384615384617,713,DEF,Brentford,0.07052709048476982,0.13935904524800544,Arsenal,0.7901138642672247,False,,,,,,,0.07052709048476982,,0.07052709048476982,7.9222222222222225,0.09770114942528736,24,0.08139671406097684,Arsenal,Hickey
3,Aaron Ramsdale,17,Arsenal,17,45,0.21538461538461537,450,GK,Brentford,0.07052709048476982,0.13935904524800544,Arsenal,0.7901138642672247,True,,,,,,,0.7901138642672247,,0.7901138642672247,5.0,0.09770114942528736,24,0.5131487783304498,Brentford,Ramsdale
4,Aaron Ramsey,675,Burnley,18,50,0.508,522,MID,Burnley,0.1855272998573033,0.2383042890241156,West Ham,0.5761684111185812,False,,,,,,,0.1855272998573033,,0.1855272998573033,5.8,0.10344827586206896,24,0.1362798854601627,West Ham,Ramsey
5,Aaron Wan-Bissaka,401,Manchester Utd,29,44,1.2423076923076921,882,DEF,Everton,0.226902211754237,0.24810962311669515,Manchester Utd,0.524988165129068,True,,,,,,,0.524988165129068,,0.524988165129068,9.8,0.16666666666666666,24,0.3816595657441074,Everton,Wan-Bissaka
6,Abdoulaye Doucouré,249,Everton,83,55,4.6230769230769235,1693,MID,Everton,0.226902211754237,0.24810962311669515,Manchester Utd,0.524988165129068,False,,,,,,,0.226902211754237,,0.226902211754237,18.81111111111111,0.47701149425287354,24,0.3769677812534189,Manchester Utd,Doucouré
7,Abdul Rahman Baba,190,Chelsea,0,40,0.0,0,DEF,Newcastle,0.25868909632116915,0.2342165724654265,Chelsea,0.5070943312134042,True,,,,,,,0.5070943312134042,,0.5070943312134042,0.0,0.0,24,0.3042565987280425,Newcastle,Baba
8,Adam Davies,479,Sheffield Utd,0,40,0.0,0,GK,Sheffield Utd,0.11649697127261614,0.18193990401511137,Bournemouth,0.7015631247122724,False,,,,,,,0.11649697127261614,,0.11649697127261614,0.0,0.0,24,0.06989818276356968,Bournemouth,Davies
9,Adam Lallana,138,Brighton,22,49,1.35,630,MID,Nottingham,0.2249721702899278,0.24275278213157858,Brighton,0.5322750475784934,True,,,,,,,0.5322750475784934,,0.5322750475784934,7.0,0.12643678160919541,24,0.2887720879969146,Nottingham,Lallana
10,Adam Smith,84,Bournemouth,43,44,1.3880000000000001,1184,DEF,Sheffield Utd,0.11649697127261614,0.18193990401511137,Bournemouth,0.7015631247122724,True,Luton,0.17311169639643578,0.21255434749191165,Bournemouth,0.6143339561116526,True,0.7015631247122724,0.6143339561116526,0.884903030957382,13.155555555555555,0.2471264367816092,24,0.6297923932870728,Sheffield Utd,Smith
11,Adam Webster,153,Brighton,13,42,1.0346153846153845,766,DEF,Nottingham,0.2249721702899278,0.24275278213157858,Brighton,0.5322750475784934,True,,,,,,,0.5322750475784934,,0.5322750475784934,8.511111111111111,0.07471264367816093,24,0.3492500860183604,Nottingham,Webster
12,Adam Wharton,807,Crystal Palace,10,50,3.025,309,MID,Luton,0.21854633926507738,0.2518373543499551,Crystal Palace,0.5296163063849675,True,,,,,,,0.5296163063849675,,0.5296163063849675,3.433333333333333,0.05747126436781609,24,0.24632928117467667,Luton,Wharton
13,Adama Traoré,662,Fulham,11,49,0.44799999999999995,66,MID,Fulham,0.33243164099720396,0.28075100971499073,Wolves,0.3868173492878053,False,,,,,,,0.33243164099720396,,0.33243164099720396,0.7333333333333333,0.06321839080459771,24,0.1709036908816402,Wolves,Traoré
14,Ademola Ola-Adebomi,720,Crystal Palace,0,45,0.0,0,FWD,Luton,0.21854633926507738,0.2518373543499551,Crystal Palace,0.5296163063849675,True,,,,,,,0.5296163063849675,,0.5296163063849675,0.0,0.0,24,0.211846522553987,Luton,Ola-Adebomi
