,index,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname,initial_team,picked,captain
0,0,Aaron Connolly,127,Brighton,0,45,0.0,0,FWD,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,0.0,0.0,28,0.21361009517621476,Nottingham,Connolly,0.0,0.0,0
1,1,Aaron Cresswell,530,West Ham,3,42,0.14615384615384613,144,DEF,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,True,0,0.0,0.0,0,0.0,0,0.5712774436335324,0.0,0.5712774436335324,1.6,0.017241379310344827,28,0.34966301790425736,Burnley,Cresswell,0.0,0.0,0
2,2,Aaron Hickey,104,Brentford,17,44,0.49615384615384617,713,DEF,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,False,0,0.0,0.0,0,0.0,0,0.07133864482157093,0.0,0.07133864482157093,7.9222222222222225,0.09770114942528736,28,0.0818836466630575,Arsenal,Hickey,0.0,0.0,0
3,3,Aaron Ramsdale,17,Arsenal,17,45,0.21538461538461537,450,GK,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,5.0,0.09770114942528736,28,0.5124032363936654,Brentford,Ramsdale,0.0,0.0,0
4,4,Aaron Ramsey,675,Burnley,18,50,0.508,522,MID,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,False,0,0.0,0.0,0,0.0,0,0.18922937545744947,0.0,0.18922937545744947,5.8,0.10344827586206896,28,0.1377607157002212,West Ham,Ramsey,0.0,0.0,0
5,5,Aaron Wan-Bissaka,401,Manchester Utd,29,44,1.2423076923076921,882,DEF,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,True,0,0.0,0.0,0,0.0,0,0.5255036459688289,0.0,0.5255036459688289,9.8,0.16666666666666666,28,0.381968854247964,Everton,Wan-Bissaka,0.0,0.0,0
6,6,Abdoulaye Doucouré,249,Everton,83,55,4.6230769230769235,1693,MID,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,False,0,0.0,0.0,0,0.0,0,0.22663733715330828,0.0,0.22663733715330828,18.81111111111111,0.47701149425287354,28,0.3768618314130474,Manchester Utd,Doucouré,0.0,0.0,0
7,7,Abdul Rahman Baba,190,Chelsea,0,40,0.0,0,DEF,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,0.0,0.0,28,0.3044712865239854,Newcastle,Baba,0.0,0.0,0
8,8,Adam Davies,479,Sheffield Utd,0,40,0.0,0,GK,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,False,0,0.0,0.0,0,0.0,0,0.11636581442060583,0.0,0.11636581442060583,0.0,0.0,28,0.0698194886523635,Bournemouth,Davies,0.0,0.0,0
9,9,Adam Lallana,138,Brighton,22,49,1.35,630,MID,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,7.0,0.12643678160919541,28,0.289472164141732,Nottingham,Lallana,0.0,0.0,0
10,10,Adam Smith,84,Bournemouth,43,44,1.3880000000000001,1184,DEF,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,True,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,True,0.7016279530212189,0.6144077808973069,0.8849500602872389,13.155555555555555,0.2471264367816092,28,0.629820610884987,Sheffield Utd,Smith,0.0,0.0,0
11,11,Adam Webster,153,Brighton,13,42,1.0346153846153845,766,DEF,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,8.511111111111111,0.07471264367816093,28,0.3503002002355865,Nottingham,Webster,0.0,0.0,0
12,12,Adam Wharton,807,Crystal Palace,10,50,3.025,309,MID,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,True,0,0.0,0.0,0,0.0,0,0.5296737581359314,0.0,0.5296737581359314,3.433333333333333,0.05747126436781609,28,0.24635226187506226,Luton,Wharton,0.0,0.0,0
13,13,Adama Traoré,662,Fulham,11,49,0.44799999999999995,66,MID,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,0.7333333333333333,0.06321839080459771,28,0.1703499600231091,Wolves,Traoré,0.0,0.0,0
14,14,Ademola Ola-Adebomi,720,Crystal Palace,0,45,0.0,0,FWD,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,True,0,0.0,0.0,0,0.0,0,0.5296737581359314,0.0,0.5296737581359314,0.0,0.0,28,0.2118695032543726,Luton,Ola-Adebomi,0.0,0.0,0
15,15,Admiral Muskwe,327,Luton,0,45,0.0,0,FWD,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,False,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,False,0.217485857333184,0.17319192209357245,0.35301098576705386,0.0,0.0,28,0.14120439430682155,Crystal Palace,Muskwe,0.0,0.0,0
16,16,Adrián San Miguel del Castillo,289,Liverpool,0,39,0.0,0,GK,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,True,0,0.0,0.0,0,0.0,0,0.3209258742700432,0.0,0.3209258742700432,0.0,0.0,28,0.19255552456202593,Manchester City,Castillo,0.0,0.0,0
17,17,Aidan Francis-Clarke,648,Luton,0,40,0.0,0,DEF,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,False,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,False,0.217485857333184,0.17319192209357245,0.35301098576705386,0.0,0.0,28,0.2118065914602323,Crystal Palace,Francis-Clarke,0.0,0.0,0
18,18,Albert Sambi Lokonga,21,Luton,28,49,1.2,874,MID,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,False,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,False,0.217485857333184,0.17319192209357245,0.35301098576705386,9.71111111111111,0.16091954022988506,28,0.23775611844475258,Crystal Palace,Lokonga,0.0,0.0,0
19,19,Alejandro Garnacho,382,Manchester Utd,83,50,5.480769230769231,1593,MID,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,True,0,0.0,0.0,0,0.0,0,0.5255036459688289,0.0,0.5255036459688289,17.7,0.47701149425287354,28,0.49640835493925567,Everton,Garnacho,0.0,0.0,0
20,20,Alejo Véliz,641,Tottenham,11,54,0.25,45,FWD,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,False,0,0.0,0.0,0,0.0,0,0.3587572114190153,0.0,0.3587572114190153,0.5,0.06321839080459771,28,0.18143391905036474,Aston Villa,Véliz,0.0,0.0,0
21,21,Aleksandar Mitrović,278,Fulham,1,74,0.12692307692307692,32,FWD,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,0.35555555555555557,0.005747126436781609,28,0.13586720140241945,Wolves,Mitrović,0.0,0.0,0
22,22,Alex Iwobi,256,Fulham,57,53,3.6884615384615387,1358,MID,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,15.088888888888889,0.3275862068965517,28,0.3289706496782815,Wolves,Iwobi,0.0,0.0,0
23,23,Alex Matos,718,Chelsea,1,45,0.0,1,MID,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,0.011111111111111112,0.005747126436781609,28,0.20642913354472595,Newcastle,Matos,0.0,0.0,0
24,24,Alex Mighten,456,Nottingham,0,44,0.0,0,MID,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,False,0,0.0,0.0,0,0.0,0,0.2227949553790633,0.0,0.2227949553790633,0.0,0.0,28,0.08911798215162532,Brighton,Mighten,0.0,0.0,0
25,25,Alex Murphy,634,Newcastle,1,39,0.0,3,DEF,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,False,0,0.0,0.0,0,0.0,0,0.2590882886422773,0.0,0.2590882886422773,0.03333333333333333,0.005747126436781609,28,0.157751823760079,Chelsea,Murphy,0.0,0.0,0
26,26,Alex Scott,644,Bournemouth,26,49,1.1520000000000001,603,MID,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,True,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,True,0.7016279530212189,0.6144077808973069,0.8849500602872389,6.7,0.14942528735632185,28,0.4436351965286887,Sheffield Utd,Scott,0.0,0.0,0
27,27,Alex Telles,370,Manchester Utd,0,45,0.0,0,DEF,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,True,0,0.0,0.0,0,0.0,0,0.5255036459688289,0.0,0.5255036459688289,0.0,0.0,28,0.31530218758129736,Everton,Telles,0.0,0.0,0
28,28,Alexander Isak,415,Newcastle,87,75,4.553846153846154,1247,FWD,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,False,0,0.0,0.0,0,0.0,0,0.2590882886422773,0.0,0.2590882886422773,13.855555555555556,0.5,28,0.4036353154569109,Chelsea,Isak,0.0,0.0,0
29,29,Alexandre Moreno Lopera,32,Aston Villa,38,52,1.7923076923076924,779,DEF,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,8.655555555555555,0.21839080459770116,28,0.3271744641983023,Tottenham,Lopera,0.0,0.0,0
30,30,Alexis Mac Allister,304,Liverpool,64,58,3.4333333333333336,1721,MID,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,True,0,0.0,0.0,0,0.0,0,0.3209258742700432,0.0,0.3209258742700432,19.122222222222224,0.367816091954023,28,0.3490600048804311,Manchester City,Allister,0.0,0.0,0
